1;EAJ1-Radio Barcelona; Primera emisión;1924
2;Alfonso XIII;Rey;1930
3;Juan Ramón Jiménez;Premio Nobel de Literatura;Años 20
4;Juan de la Cierva;Inventor del auto-giro;Años 20
5;Ortega y Gasset;José Ortega y Gasset. Filósofo;Años 20
6;Ramón y Cajal;Santiago Ramón y Cajal. Médico;Años 20
7;Unamuno;Miguel de Unamuno. Escritor y filósofo;Años 20
8;Carlos Gardel;Carlos Gardel. Cantante;Años 30
9;Manuel Azaña;Político. Presidente de la Segunda República;1931
10;Primo de Rivera;José Antonio Primo de Rivera. Fundador de Falange Española;1935
11;Santiago Carrillo;Santiago Carrillo. Político. Sec. Gral. Partido Comunista de España. (PCE);1934
12;Rafael Alberti;Rafael Alberti. Escritor y poeta;Años 30
13;Fernández de Córdoba;Fernando Fernández de Córdoba anuncia el final Guerra Civil Española;1939
14;Eva Perón;Eva Perón. Actriz y política;1947
15;Dolores Ibarruri;Dolores Ibarruri “Pasionaria”. Secretaria General del PCE;Años 40
16;Rodríguez Castelao;Alfonso Daniel Rodríguez Castelao. Escritor y político;1942
17;Gerardo Diego;Gerardo Diego. Poeta;Años 40
18;Pio XII;Pio XII. Papa;1941
19;Radio España;Radio España. Programa Infantil;1947
20;Radio Intercontinental;Radio Intercontinental. Peticiones del Oyente ;1948
21;Francisco Franco;Francisco Franco. Jefe del Estado. Inauguración de pantanos.;1952
22;Matías Prats Cañete;Matías Prats Cañete. Gol de Zarra a Inglaterra.;1950
23;Ama Rosa;Radionovela. Ama Rosa. Careta de entrada.;1959
24;Elena Francis;Elena Francis. Consultorio.;1956
25;Bobby Deglané;Bobby Deglané. Publicidad (documento único conservado de Bobby);1951
26;Matilde, Perico...;Matilde, Perico y Periquín. M. Conesa, M. Vilariño y P.P. Ayuso;1955
27;Pepe Iglesias;Pepe Iglesias “El Zorro”;Años 50
28;Asesinato de Kennedy;RNE. Asesinato de J.F. Kennedy;1963
29;Juan Martín Navas;Juan Martín Navas. Gol de Marcelino a Rusia. Eurocopa ;1964
30;José Luis Pecker;José Luis Pecker. Entrevista a Di Stéfano;1966
31;Raúl Matas;Raúl Matas. Discomanía. (SER);1965
32;Tip y Top;El Show de Tip y Top (SER);1967
33;El Gran Musical;El Gran Musical. Cadena SER. J. Luqui y P.D. Castaño;1966
34;Salvador Dalí;Salvador Dalí en “A contrarreloj”, de R. Barcelona;Años 60
35;Constantino Romero;Constantino Romero. Radio Young;1969
36;Encarna Sánchez;Encarna Sánchez. Radio Miramar;1969
37;Hora XXV (SER);José María García, Cruyff y Pedro Carrasco en Hora XXV (SER).;1977
38;Los 40 Principales;;Años 70
39;Cadena SER;Cadena SER. Indicativo.;Años 70
40;Joaquín Prats;Joaquín Prats y Laura Valenzuela. Publicidad en directo;Años 70
41;Gabilondo, Del Olmo...;Gabilondo, Del Olmo, Herrero, García, Encarna, Sardá y De La Morena;Varios
42;Fernando Ónega;Fernando Ónega. Periodista;Años 80
43;Martín Ferrand;Manuel Martín Ferrand. Periodista;Años 80
44;Doña Rogelia;Doña Rogelia. Mari Carmen y sus Muñecos;Años 80
45;Eugenio;Eugenio. Humorista.;Años 80
46;Miguel Gila;Miguel Gila. Humorista y Locutor.;Años 80
47;José Sánchez Polak;José Sánchez Polak “Tip”. Humorista.;Años 80
48;“Protagonistas”;“Protagonistas”. Zapatazo de Norma Duval a Jimmy Giménez Arnau;1993
49;“Protagonistas”;“Protagonistas”. Debate del Estado de la Nación. Sección “Noticias”;Años 90
50;11 S;Noticia 11 S. Nueva York;2001
51;Felipe González;Felipe González. Presidente del Gobierno. Desde Moncloa;1995
52;Camilo José Cela;Camilo José Cela. Nobel de Literatura. Y aficionado a la “siesta”;1996
53;Miguel Delibes;Miguel Delibes. Escritor;2002
54;José Saramago;José Saramago. Nobel de Literatura;1992
55;Juan Antonio Bardem;Juan Antonio Bardem. Cineasta;2000
56;Baltasar Garzón;Baltasar Garzón. Juez. (Cantando);Años 90
57;Lola Flores;Lola Flores. Artista;1991
58;Dyango;Dyango canta la sintonía de “Protagonistas”;Años 90
59;Serrat y Rocío Jurado;Serrat y Rocío Jurado en el Teatro Bergidum. Ponferrada.;1997
60;Amancio Prada;Amancio Prada, Luis del Olmo y un minero desde el fondo de la mina. Villablino.;2012
61;García Márquez;Gabriel García Márquez. Premio Nobel de Literatura.;1982
62;Carrusel Deportivo;Vicente Marco sobre “Carrusel Deportivo”;1982
63;Carlos Herrera;Carlos Herrera. Periodista;Años 90
64;Julio César Iglesias;Julio César Iglesias. Periodista (Sobre la “Quinta del Buitre”);1992
65;García Campoy;Concha García Campoy. Periodista;Años 90
66;23F;Documento sonoro del asalto al Congreso de los Diputados 23F;1981
