201;Arias Navarro;Carlos Arias Navarro. Presidente del Gobierno de España (anuncia la muerte de Franco);1975
202;Adolfo Suárez;Adolfo Suárez González. Presidente del Gobierno de España;1976
203;Che Guevara;Ernesto “Che” Guevara. Político, médico y revolucionario argentino-cubano;1965
204;Winston Churchill;Winston Churchill. Primer Ministro del Reino Unido;1944
205;Salvador Allende;Salvador Allende. Político y médico. Presidente de Chile;1973
206;Einsenhower;Dwight D. “Ike” Einsenhower. Presidente de EE.UU;1960
207;Alexander Fleming;Alexander Fleming. Científico. Descubridor de la penicilina;1929
208;Francisco Franco;Francisco Franco. Jefe del Estado;Años 60
209;Juan Carlos I;Juan Carlos I. Rey de España.;1975
201;Arias Navarro;Carlos Arias Navarro. Presidente del Gobierno de España (anuncia la muerte de Franco);1975
