101;Adolfo Domínguez;Adolfo Domínguez. Diseñador;
102;Núñez Feijóo;Alberto Núñez Feijóo. Político. Presidente de la Xunta;
103;Fernández Albor;Gerardo Fernández Albor. Político y médico. Presidente de la Xunta;
104;Rodríguez Castelao;Alfonso Rodríguez Castelao. Padre del Nacionalismo Gallego. Desde Uruguay;
105;Álvaro Cunqueiro;Álvaro Cunqueiro. Escritor y Periodista;
106;Amancio;Amancio. Futbolista;
107;Ana Kiro;Ana Kiro. Cantante y artista;
108;Arsenio Iglesias;Arsenio Iglesias. Jugador y entrenador de fútbol;
109;Camilo José Cela;Camilo José Cela. Premio Nobel de Literatura;
110;Carlos Casares;Carlos Casares. Escritor;
111;Carlos Núñez;Carlos Núñez. Músico y gaiteiro;
112;César Portela;César Portela. Arquitecto;
113;David Ca;David Cal. Piragüista. Deportista español  con más medallas olímpicas;
114;Diego Bernal;Diego Bernal. Periodista y escritor;
115;Pérez Touriño;Emilio Pérez Touriño. Presidente de la Xunta;
116;Enterprise;“Enterprise” contra el Puente de As Pías. Noticia;
117;Príncipe Felipe;Príncipe Felipe en Lugo;
118;González Laxe;Fernando González Laxe. Presidente de la Xunta;
119;Fernando Ónega;Fernando Ónega. Periodista;
120;Fernando Rey;Fernando Rey. Actor;
121;Fernando Romay;Fernando Romay. Baloncestista internacional;Años 90
122;Francis Lorenzo;Francis Lorenzo. Actor;Años 00
123;Torrente Ballester;Gonzalo Torrente Ballester. Escritor;Años 90
124;Radio Galega;Radio Galega. Primera emisión;1985
125;Isaac Díaz Pardo;Isaac Díaz Pardo. Intelectual, ceramista, artista;Años 80
126;Javier Gutiérrez;Javier Gutiérrez. Actor;Años 00
127;Juan Carlos I;Juan Carlos I en Galicia. Ofrenda al Apóstol;Años 80
128;Juan Pablo II;Juan Pablo II en Galicia;1989
129;Juan Pardo;Juan Pardo. Cantante;Años 00
130;Julia Otero;Julia Otero. Periodista;Años 00
131;Luis Moya;Luis Moya. Campeón del Mundo de Rallyes;Años 90
132;Luis Suárez;Luis Suárez. Futbolista. Único jugador nacido en España en posesión del “Balón de Oro”;Años 90
133;Luis Tosar;Luis Tosar. Actor. (Recogida del “Goya” al film “Celda 211”);2010
134;Luz Casal;Luz Casal. Cantante;Años 90
135;Manuel Fraga;Manuel Fraga Iribarne. Presidente de la Xunta;1989
136;Manuel Rivas;Manuel Rivas. Escritor;Años 90
137;María Castro;María Castro. Actriz;Años 00
138;Mariano Rajoy;Mariano Rajoy Brey. Presidente del Gobierno Español;2012
139;Marta Bobo;Marta Bobo. Internacional Gimnasia Rítmica;Años 00
140;Muralla de Lugo;Muralla de Lugo Patrimonio de la Humanidad. Noticia;2000
141;Francisco Vázquez;Francisco Vázquez Vázquez. Alcalde de A Coruña;Años 00
142;Rouco Varela;Antonio María Rouco Varela. Cardenal;1998
143;Gómez Noya;Javier Gómez Noya. Triatleta. Campeón del Mundo y medallista olímpico;2012
