1;EAJ 1-Radio Barcelona;Primera emisión. (1924)
2;Alfonso XIII;Rey
3;Juan Ramón Jiménez;Premio Nobel de Literatura
4;Juan de la Cierva; Inventor del auto-giro
5;José Ortega y Gasset;Filósofo
6;Santiago Ramón y Cajal;Médico
7;Miguel de Unamuno;Escritor y filósofo
8;Carlos Gardel;Cantante
9;Manuel Azaña;Político. Presidente de la Segunda República
10;José Antonio Primo de Rivera; Fundador de Falange Española
11;Santiago Carrillo;Político. Sec. Gral. Partido Comunista de España. (PCE)
12;Rafael Alberti;Escritor y poeta
13;Fernando Fernández de Córdoba; anuncia el final Guerra Civil Española
14;Eva Perón;Actriz y política
15;Dolores Ibarruri “Pasionaria”;Secretaria General del PCE
16;Alfonso Daniel Rodríguez Castelao; Escritor y político
17;Gerardo Diego;Poeta
18;Pio XII;Papa
19;Radio España;Programa Infantil (1947)
20;Radio Intercontinental;Peticiones del Oyente (1948)
21;Francisco Franco;Jefe del Estado. Inauguración de pantanos.
22;Matías Prats Cañete;Gol de Zarra a Inglaterra.
23; Ama Rosa; Radionovela, careta de entrada
24;Elena Francis;Consultorio
25;Bobby Deglané;Publicidad (documento único conservado de Bobby)
26;Matilde, Perico y Periquí; M. Conesa, M. Vilariño y P.P. Ayuso
27;Pepe Iglesias “El Zorro”;
28; Asesinato de J.F. Kennedy;RNE
29;Juan Martín Navas;Gol de Marcelino a Rusia. Eurocopa 1964
30;José Luis Pecker;Entrevista a Di Stéfano
31;Raúl Matas;Discomanía. (SER)
32;El Show de Tip y Top;(SER)
33;El Gran Musical;Cadena SER. J. Luqui y P.D. Castaño.
34;Salvador Dalí ; “A contrarreloj”, de R. Barcelona.
35;Constantino Romero;Radio Young.
36;Encarna Sánchez;Radio Miramar
37;José María García, Cruyff y Pedro Carrasco;Hora XXV (SER)
38;Los 40 Principales;
39;Cadena SER. ;Indicativo
40;Joaquín Prats y Laura Valenzuela; Publicidad en directo
41;Gabilondo, Del Olmo...;Herrero, García, Encarna, Sardá y De La Morena
42;Fernando Ónega;Periodista
43;Manuel Martín Ferrand;Periodista
44;Doña Rogelia;Mari Carmen y sus Muñecos
45;Eugenio;Humorista
46;Miguel Gila;Humorista y Locutor
47;José Sánchez Polak;“Tip”. Humorista
48;“Protagonistas”;Zapatazo de Norma Duval a Jimmy Giménez Arnau.
49;“Protagonistas”; Debate del Estado de la Nación. Sección “Noticias”
50;Notica 11 S. Nueva York;
51;Felipe González;Presidente del Gobierno. Desde Moncloa
52;Camilo José Cela;Nobel de Literatura. Y aficionado a la “siesta”
53;Miguel Delibes;Escritor
54;José Saramago;Nobel de Literatura
55;Juan Antonio Bardem;Cineasta
56;Baltasar Garzón;Juez. (Cantando)
57;Lola Flores;Artista
58;Dyango; canta la sintonía de “Protagonistas”
59;Serrat y Rocío Jurado ;en el Teatro Bergidum. Ponferrada 1997
60;Amancio Prada; Luis del Olmo y un minero desde el fondo de la mina. Villablino
61;Gabriel García Márquez;Premio Nobel de Literatura
62;Vicente Marco; sobre “Carrusel Deportivo”
63;Carlos Herrera. ;Periodista
64;Julio César Iglesias;Periodista (Sobre la “Quinta del Buitre”)
65;Concha García Campoy; Periodista
66;asalto al Congreso de los Diputados 23F-1981;Documento sonoro del asalto al Congreso de los Diputados 23F-1981
